"","x"
"327","327,0.0112,0.32240182223806"
"328","328,0.0175,0.32240182223806"
"329","329,0.0212,0.32240182223806"
"330","330,0.0298,0.32240182223806"
"331","331,0.0197,0.32240182223806"
"332","332,0.0209,0.32240182223806"
"333","333,0.0125,0.32240182223806"
"334","334,0.0172,0.32240182223806"
"335","335,0.018,0.32240182223806"
"336","336,0.0289,0.32240182223806"
"337","337,0.0222,0.32240182223806"
"338","338,0.0118,0.32240182223806"
"339","339,0.0276,0.32240182223806"
"340","340,0.0077,0.32240182223806"
"341","341,0.0117,0.32240182223806"
"342","342,0.021,0.32240182223806"
"343","343,0.0082,0.32240182223806"
"344","344,0.0096,0.32240182223806"
"345","345,0.006,0.32240182223806"
"346","346,0.0295,0.32240182223806"
"347","347,0.0129,0.32240182223806"
"348","348,0.0577,0.32240182223806"
"349","349,0.0206,0.32240182223806"
"350","350,0.0095,0.32240182223806"
"351","351,0.012,0.32240182223806"
"352","352,0.0153,0.32240182223806"
"353","353,0.0025,0.32240182223806"
"354","354,0.0073,0.32240182223806"
"355","355,0.0083,0.32240182223806"
"356","356,0.0065,0.32240182223806"
"357","357,0.0101,0.32240182223806"
"358","358,0.0175,0.32240182223806"
"359","359,0.0176,0.32240182223806"
"360","360,0.0699,0.32240182223806"
"361","361,0.0473,0.32240182223806"
"362","362,0.0094,0.32240182223806"
"363","363,0.02,0.32240182223806"
"364","364,0.0231,0.32240182223806"
"365","365,0.015,0.32240182223806"
"366","366,0.0146,0.32240182223806"
"367","367,0.0034,0.32240182223806"
"368","368,0.0057,0.32240182223806"
"369","369,0.0048,0.32240182223806"
"370","370,0.0065,0.32240182223806"
"371","371,0.0397,0.32240182223806"
"372","372,0.0198,0.32240182223806"
"373","373,0.0076,0.32240182223806"
"374","374,1e-04,0.32240182223806"
"375","375,0,0.32240182223806"
"376","376,0,0.32240182223806"
"377","377,0,0.32240182223806"
"378","378,0.0023,0.32240182223806"
"379","379,0.0132,0.32240182223806"
"380","380,0.0083,0.32240182223806"
"381","381,8e-04,0.32240182223806"
"382","382,1e-04,0.32240182223806"
"383","383,0,0.32240182223806"
"384","384,0,0.32240182223806"
"385","385,8e-04,0.32240182223806"
"386","386,0.0184,0.32240182223806"
"387","387,0.019,0.32240182223806"
"388","388,0.0094,0.32240182223806"
"389","389,0.0109,0.32240182223806"
"390","390,0,0.32240182223806"
"391","391,0,0.32240182223806"
"392","392,1e-04,0.32240182223806"
"393","393,2e-04,0.32240182223806"
"394","394,0.0062,0.32240182223806"
"395","395,0.0183,0.32240182223806"
"396","396,0.0171,0.32240182223806"
"397","397,0.0195,0.32240182223806"
"398","398,0.0097,0.32240182223806"
"399","399,0,0.32240182223806"
"400","400,0,0.32240182223806"
"401","401,0.0273,0.32240182223806"
"402","402,0.0482,0.32240182223806"
"403","403,0.0133,0.32240182223806"
"404","404,0.0099,0.32240182223806"
"405","405,0.0122,0.32240182223806"
"406","406,0.0162,0.32240182223806"
"407","407,0.0092,0.32240182223806"
"408","408,0.0128,0.32240182223806"
"409","409,0,0.32240182223806"
"410","410,0,0.32240182223806"
"411","411,0,0.32240182223806"
"412","412,0,0.32240182223806"
"413","413,0,0.32240182223806"
"414","414,0.0202,0.32240182223806"
"415","415,0.0064,0.32240182223806"
"416","416,0.0069,0.32240182223806"
"417","417,0.0076,0.32240182223806"
"418","418,0.0087,0.32240182223806"
"419","419,0.0084,0.32240182223806"
"420","420,0.0144,0.32240182223806"
"421","421,0.0158,0.32240182223806"
"422","422,0.0228,0.32240182223806"
"423","423,0,0.32240182223806"
"424","424,1e-04,0.32240182223806"
"425","425,1e-04,0.32240182223806"
"426","426,0.0105,0.32240182223806"
"427","427,0.0074,0.32240182223806"
"428","428,0.0616,0.32240182223806"
"429","429,0.0186,0.32240182223806"
"430","430,0,0.32240182223806"
"431","431,0,0.32240182223806"
"432","432,0,0.32240182223806"
"433","433,1e-04,0.32240182223806"
"434","434,0.0472,0.32240182223806"
"435","435,0,0.32240182223806"
"436","436,0,0.32240182223806"
"437","437,1e-04,0.32240182223806"
"438","438,0.0186,0.32240182223806"
"439","439,0.0178,0.32240182223806"
"440","440,0.0163,0.32240182223806"
"441","441,0.033,0.32240182223806"
"442","442,0.0224,0.32240182223806"
"443","443,0.0023,0.32240182223806"
"444","444,0,0.32240182223806"
"445","445,0,0.32240182223806"
"446","446,0,0.32240182223806"
"447","447,5e-04,0.32240182223806"
"448","448,0.037,0.32240182223806"
"449","449,0.0584,0.32240182223806"
"450","450,0.009,0.32240182223806"
"451","451,0.0094,0.32240182223806"
"452","452,0.0176,0.32240182223806"
"453","453,0.0057,0.32240182223806"
"454","454,2e-04,0.32240182223806"
"455","455,2e-04,0.32240182223806"
"456","456,2e-04,0.32240182223806"
"457","457,2e-04,0.32240182223806"
"458","458,0.0515,0.32240182223806"
"459","459,0.0115,0.32240182223806"
"460","460,0.0324,0.32240182223806"
"461","461,0.018,0.32240182223806"
"462","462,0.0313,0.32240182223806"
"463","463,0.0343,0.32240182223806"
"464","464,0.0153,0.32240182223806"
"465","465,0.0087,0.32240182223806"
"466","466,9e-04,0.32240182223806"
"467","467,6e-04,0.32240182223806"
"468","468,4e-04,0.32240182223806"
"469","469,0.0142,0.32240182223806"
"470","470,0.0116,0.32240182223806"
"471","471,0.0091,0.32240182223806"
"472","472,0.015,0.32240182223806"
"473","473,0.0266,0.32240182223806"
"474","474,6e-04,0.32240182223806"
"475","475,0.0316,0.32240182223806"
"476","476,0.0144,0.32240182223806"
"477","477,0.0223,0.32240182223806"
"478","478,0.028,0.32240182223806"
"479","479,0.0187,0.32240182223806"
"480","480,0.0163,0.32240182223806"
"481","481,0.0239,0.32240182223806"
"482","482,0.0439,0.32240182223806"
"483","483,0.0157,0.32240182223806"
"484","484,0.0175,0.32240182223806"
"485","485,0.0336,0.32240182223806"
"486","486,0.0227,0.32240182223806"
"487","487,0.0154,0.32240182223806"
"488","488,0.0292,0.32240182223806"
"489","489,0.0195,0.32240182223806"
"490","490,0.0157,0.32240182223806"
"491","491,0.0014,0.32240182223806"
"492","492,0.0307,0.32240182223806"
"493","493,0.0607,0.32240182223806"
"494","494,0.0593,0.32240182223806"
"495","495,0.0291,0.32240182223806"
"496","496,0.0276,0.32240182223806"
"497","497,0.0154,0.32240182223806"
"498","498,0.041,0.32240182223806"
"499","499,0.0235,0.32240182223806"
"500","500,0.0141,0.32240182223806"
"501","501,0.0243,0.32240182223806"
"502","502,0.1049,0.32240182223806"
"503","503,0.0411,0.32240182223806"
"504","504,0.0258,0.32240182223806"
"505","505,0.0388,0.32240182223806"
"506","506,0.0339,0.32240182223806"
"507","507,0.0249,0.32240182223806"
"508","508,0.0253,0.32240182223806"
"509","509,0.038,0.32240182223806"
"510","510,0.0023,0.32240182223806"
"511","511,0.0213,0.32240182223806"
"512","512,0.0265,0.32240182223806"
"513","513,0.0197,0.32240182223806"
"514","514,0.0265,0.32240182223806"
"515","515,0.0399,0.32240182223806"
"516","516,0.027,0.32240182223806"
"517","517,0.0229,0.32240182223806"
"518","518,0.0211,0.32240182223806"
"519","519,0.0117,0.32240182223806"
"520","520,0.0113,0.32240182223806"
"521","521,0.0263,0.32240182223806"
"522","522,0.0317,0.32240182223806"
"523","523,0.1109,0.32240182223806"
"524","524,0.0136,0.32240182223806"
"525","525,0.0418,0.32240182223806"
"526","526,0.0394,0.32240182223806"
"527","527,0.027,0.32240182223806"
"528","528,0.022,0.32240182223806"
"529","529,0.0305,0.32240182223806"
"530","530,0.0188,0.32240182223806"
"531","531,0.0282,0.32240182223806"
"532","532,0.0241,0.32240182223806"
"533","533,0.0443,0.32240182223806"
"534","534,0.0071,0.32240182223806"
"535","535,0.0284,0.32240182223806"
"536","536,0.0198,0.32240182223806"
"537","537,0.0218,0.32240182223806"
"538","538,0.0349,0.32240182223806"
"539","539,0.0289,0.32240182223806"
"540","540,0.001,0.32240182223806"
"541","541,0.0332,0.32240182223806"
"542","542,0.038,0.32240182223806"
"543","543,0.0724,0.32240182223806"
"544","544,0.0509,0.32240182223806"
"545","545,0.0286,0.32240182223806"
"546","546,0.012,0.32240182223806"
"547","547,0.015,0.32240182223806"
"548","548,0.0313,0.32240182223806"
"549","549,0.0782,0.32240182223806"
"550","550,0.0013,0.32240182223806"
"551","551,0.0559,0.32240182223806"
"552","552,0.0489,0.32240182223806"
"553","553,0.0131,0.32240182223806"
"554","554,0,0.32240182223806"
"555","555,5e-04,0.32240182223806"
"556","556,0.0333,0.32240182223806"
"557","557,0.0456,0.32240182223806"
"558","558,0.0587,0.32240182223806"
"559","559,0.019,0.32240182223806"
"560","560,0,0.32240182223806"
"561","561,0,0.32240182223806"
"562","562,2e-04,0.32240182223806"
"563","563,0.0295,0.32240182223806"
"564","564,0.0206,0.32240182223806"
"565","565,0.0224,0.32240182223806"
"566","566,0,0.32240182223806"
"567","567,0,0.32240182223806"
"568","568,0.0511,0.32240182223806"
"569","569,0.0366,0.32240182223806"
"570","570,0.0199,0.32240182223806"
"571","571,0,0.32240182223806"
"572","572,0,0.32240182223806"
"573","573,0.0419,0.32240182223806"
"574","574,0.0485,0.32240182223806"
"575","575,0.0356,0.32240182223806"
"576","576,0,0.32240182223806"
"577","577,0,0.32240182223806"
"578","578,0,0.32240182223806"
"579","579,0,0.32240182223806"
"580","580,0,0.32240182223806"
"581","581,0,0.32240182223806"
"582","582,0,0.32240182223806"
"583","583,0.0131,0.32240182223806"
"584","584,0.0401,0.32240182223806"
"585","585,0.0466,0.32240182223806"
"586","586,0.0499,0.32240182223806"
"587","587,0.0471,0.32240182223806"
"588","588,0.0412,0.32240182223806"
"589","589,0.0422,0.32240182223806"
"590","590,0.0171,0.32240182223806"
"591","591,0.0166,0.32240182223806"
"592","592,0.0204,0.32240182223806"
"593","593,0.037,0.32240182223806"
"594","594,0.0583,0.32240182223806"
"595","595,0,0.32240182223806"
"596","596,0,0.32240182223806"
"597","597,0.0599,0.32240182223806"
"598","598,0.0239,0.32240182223806"
"599","599,0.0537,0.32240182223806"
"600","600,0.0386,0.32240182223806"
"601","601,0.0821,0.32240182223806"
"602","602,0.0697,0.32240182223806"
"603","603,0.0969,0.32240182223806"
"604","604,0.0236,0.32240182223806"
"605","605,0.0111,0.32240182223806"
"606","606,0.0317,0.32240182223806"
"607","607,0.0126,0.32240182223806"
"608","608,0.0151,0.32240182223806"
"609","609,0.0223,0.32240182223806"
"610","610,0.0258,0.32240182223806"
"611","611,0.0273,0.32240182223806"
"612","612,0.03,0.32240182223806"
"613","613,0.0618,0.32240182223806"
"614","614,0.0504,0.32240182223806"
"615","615,0.0503,0.32240182223806"
"616","616,0.0271,0.32240182223806"
"617","617,0.0209,0.32240182223806"
"618","618,0.0304,0.32240182223806"
"619","619,0.0834,0.32240182223806"
"620","620,0.0527,0.32240182223806"
"621","621,0.0188,0.32240182223806"
"622","622,0.0268,0.32240182223806"
"623","623,0.0314,0.32240182223806"
"624","624,0.0393,0.32240182223806"
"625","625,0.0396,0.32240182223806"
"626","626,0.0334,0.32240182223806"
"627","627,0.0329,0.32240182223806"
"628","628,0.0332,0.32240182223806"
"629","629,0.0242,0.32240182223806"
"630","630,0.0554,0.32240182223806"
"631","631,0.0219,0.32240182223806"
"632","632,0.0027,0.32240182223806"
"633","633,0.0329,0.32240182223806"
"634","634,0.0369,0.32240182223806"
"635","635,0.0297,0.32240182223806"
"636","636,0.0821,0.32240182223806"
"637","637,0.0721,0.32240182223806"
"638","638,0.0491,0.32240182223806"
"639","639,0.14,0.32240182223806"
"640","640,0.0572,0.32240182223806"
"641","641,0.0461,0.32240182223806"
"642","642,0.0961,0.32240182223806"
"643","643,0.0875,0.32240182223806"
"644","644,0.0417,0.32240182223806"
"645","645,0.0818,0.32240182223806"
"646","646,0.0611,0.32240182223806"
"647","647,0.0423,0.32240182223806"
"648","648,0.0432,0.32240182223806"
"649","649,0.0741,0.32240182223806"
"650","650,0,0.32240182223806"
"651","651,0.0364,0.32240182223806"
"652","652,0.0388,0.32240182223806"
"653","653,0,0.32240182223806"
"654","654,0,0.32240182223806"
"655","655,0,0.32240182223806"
"656","656,0,0.32240182223806"
"657","657,0,0.32240182223806"
"658","658,2e-04,0.32240182223806"
"659","659,0.0016,0.32240182223806"
"660","660,0.0032,0.32240182223806"
"661","661,0.0047,0.32240182223806"
"662","662,0.062,0.32240182223806"
"663","663,4e-04,0.32240182223806"
"664","664,4e-04,0.32240182223806"
"665","665,2e-04,0.32240182223806"
"666","666,0.0515,0.32240182223806"
"667","667,0.025,0.32240182223806"
"668","668,1e-04,0.32240182223806"
"669","669,2e-04,0.32240182223806"
"670","670,2e-04,0.32240182223806"
"671","671,2e-04,0.32240182223806"
"672","672,0.0226,0.32240182223806"
"673","673,1e-04,0.32240182223806"
"674","674,3e-04,0.32240182223806"
"675","675,1e-04,0.32240182223806"
"676","676,1e-04,0.32240182223806"
"677","677,0,0.32240182223806"
"678","678,0.017,0.32240182223806"
"679","679,0,0.32240182223806"
"680","680,1e-04,0.32240182223806"
"681","681,1e-04,0.32240182223806"
"682","682,0.0139,0.32240182223806"
"683","683,0.0174,0.32240182223806"
"684","684,0.0244,0.32240182223806"
"685","685,1e-04,0.32240182223806"
"686","686,1e-04,0.32240182223806"
"687","687,1e-04,0.32240182223806"
"688","688,0,0.32240182223806"
"689","689,0,0.32240182223806"
"690","690,1e-04,0.32240182223806"
"691","691,0,0.32240182223806"
"692","692,0,0.32240182223806"
"693","693,0,0.32240182223806"
"694","694,2e-04,0.32240182223806"
"695","695,0.0102,0.32240182223806"
"696","696,0,0.32240182223806"
"697","697,0,0.32240182223806"
"698","698,1e-04,0.32240182223806"
"699","699,0,0.32240182223806"
"700","700,2e-04,0.32240182223806"
"701","701,0.0612,0.32240182223806"
"702","702,0.0142,0.32240182223806"
"703","703,0.0197,0.32240182223806"
"704","704,0.0165,0.32240182223806"
"705","705,0.0303,0.32240182223806"
"706","706,0.0036,0.32240182223806"
"707","707,0.0136,0.32240182223806"
"708","708,0.0025,0.32240182223806"
"709","709,5e-04,0.32240182223806"
"710","710,5e-04,0.32240182223806"
"711","711,0.0048,0.32240182223806"
"712","712,0,0.32240182223806"
"713","713,0,0.32240182223806"
"714","714,0.0053,0.32240182223806"
"715","715,0,0.32240182223806"
"716","716,0.0022,0.32240182223806"
"717","717,0.0015,0.32240182223806"
"718","718,2e-04,0.32240182223806"
"719","719,0,0.32240182223806"
"720","720,7e-04,0.32240182223806"
"721","721,0.0012,0.32240182223806"
"722","722,0.0146,0.32240182223806"
"723","723,0,0.32240182223806"
"724","724,3e-04,0.32240182223806"
"725","725,2e-04,0.32240182223806"
"726","726,0,0.32240182223806"
"727","727,2e-04,0.32240182223806"
"728","728,2e-04,0.32240182223806"
"729","729,2e-04,0.32240182223806"
"730","730,2e-04,0.32240182223806"
"731","731,2e-04,0.32240182223806"
"732","732,1e-04,0.32240182223806"
"733","733,0.008,0.32240182223806"
"734","734,1e-04,0.32240182223806"
"735","735,1e-04,0.32240182223806"
"736","736,0,0.32240182223806"
"737","737,1e-04,0.32240182223806"
"738","738,1e-04,0.32240182223806"
"739","739,1e-04,0.32240182223806"
"740","740,1e-04,0.32240182223806"
"741","741,0.025,0.32240182223806"
"742","742,0.0408,0.32240182223806"
"743","743,0.0014,0.32240182223806"
"744","744,0.0099,0.32240182223806"
"745","745,0.0165,0.32240182223806"
"746","746,0.0259,0.32240182223806"
"747","747,0.026,0.32240182223806"
"748","748,0.0604,0.32240182223806"
"749","749,1e-04,0.32240182223806"
"750","750,2e-04,0.32240182223806"
