"","x"
"1","1,8e-04,0.32240182223806"
"2","2,0.0027,0.32240182223806"
"3","3,5e-04,0.32240182223806"
"4","4,4e-04,0.32240182223806"
"5","5,0.0065,0.32240182223806"
"6","6,0.0028,0.32240182223806"
"7","7,0.0015,0.32240182223806"
"8","8,0.0078,0.32240182223806"
"9","9,0.0073,0.32240182223806"
"10","10,2e-04,0.32240182223806"
"11","11,8e-04,0.32240182223806"
"12","12,2e-04,0.32240182223806"
"13","13,0.0302,0.32240182223806"
"14","14,0.0082,0.32240182223806"
"15","15,0.0168,0.32240182223806"
"16","16,0.0131,0.32240182223806"
"17","17,0.0253,0.32240182223806"
"18","18,7e-04,0.32240182223806"
"19","19,2e-04,0.32240182223806"
"20","20,0.0013,0.32240182223806"
"21","21,0.0485,0.32240182223806"
"22","22,0.0194,0.32240182223806"
"23","23,0.003,0.32240182223806"
"24","24,0.0152,0.32240182223806"
"25","25,0.0088,0.32240182223806"
"26","26,0.0069,0.32240182223806"
"27","27,0.0099,0.32240182223806"
"28","28,0.0079,0.32240182223806"
"29","29,2e-04,0.32240182223806"
"30","30,0.0013,0.32240182223806"
"31","31,0.0026,0.32240182223806"
"32","32,0.0023,0.32240182223806"
"33","33,0.0069,0.32240182223806"
"34","34,7e-04,0.32240182223806"
"35","35,0.0013,0.32240182223806"
"36","36,0.0226,0.32240182223806"
"37","37,0.0208,0.32240182223806"
"38","38,0.0155,0.32240182223806"
"39","39,0.0021,0.32240182223806"
"40","40,0.0035,0.32240182223806"
"41","41,0.0024,0.32240182223806"
"42","42,0.0252,0.32240182223806"
"43","43,0.0193,0.32240182223806"
"44","44,1e-04,0.32240182223806"
"45","45,0.0023,0.32240182223806"
"46","46,0.0026,0.32240182223806"
"47","47,0.0091,0.32240182223806"
"48","48,0.0154,0.32240182223806"
"49","49,0.0019,0.32240182223806"
"50","50,0.0152,0.32240182223806"
"51","51,2e-04,0.32240182223806"
"52","52,0.0021,0.32240182223806"
"53","53,0.0079,0.32240182223806"
"54","54,8e-04,0.32240182223806"
"55","55,0.0011,0.32240182223806"
"56","56,0.0044,0.32240182223806"
"57","57,6e-04,0.32240182223806"
"58","58,9e-04,0.32240182223806"
"59","59,0.0011,0.32240182223806"
"60","60,6e-04,0.32240182223806"
"61","61,4e-04,0.32240182223806"
"62","62,0.0128,0.32240182223806"
"63","63,0.0033,0.32240182223806"
"64","64,0.0052,0.32240182223806"
"65","65,0.0027,0.32240182223806"
"66","66,0.0014,0.32240182223806"
"67","67,0.0185,0.32240182223806"
"68","68,0.0107,0.32240182223806"
"69","69,0.0028,0.32240182223806"
"70","70,0.0226,0.32240182223806"
"71","71,0.008,0.32240182223806"
"72","72,0.0025,0.32240182223806"
"73","73,0.0108,0.32240182223806"
"74","74,0.0128,0.32240182223806"
"75","75,0.0093,0.32240182223806"
"76","76,0.0335,0.32240182223806"
"77","77,0.0165,0.32240182223806"
"78","78,0.0173,0.32240182223806"
"79","79,0.0067,0.32240182223806"
"80","80,0.0116,0.32240182223806"
"81","81,0.0052,0.32240182223806"
"82","82,0.0045,0.32240182223806"
"83","83,0.0036,0.32240182223806"
"84","84,7e-04,0.32240182223806"
"85","85,0.0032,0.32240182223806"
"86","86,0.0039,0.32240182223806"
"87","87,0.005,0.32240182223806"
"88","88,0.0239,0.32240182223806"
"89","89,0,0.32240182223806"
"90","90,0.0076,0.32240182223806"
"91","91,0.0106,0.32240182223806"
"92","92,0.0124,0.32240182223806"
"93","93,0.0214,0.32240182223806"
"94","94,0.0115,0.32240182223806"
"95","95,0,0.32240182223806"
"96","96,0.0043,0.32240182223806"
"97","97,0,0.32240182223806"
"98","98,0.0033,0.32240182223806"
"99","99,0.0389,0.32240182223806"
"100","100,0,0.32240182223806"
"101","101,1e-04,0.32240182223806"
"102","102,1e-04,0.32240182223806"
"103","103,2e-04,0.32240182223806"
"104","104,1e-04,0.32240182223806"
"105","105,0.0089,0.32240182223806"
"106","106,1e-04,0.32240182223806"
"107","107,1e-04,0.32240182223806"
"108","108,0.0055,0.32240182223806"
"109","109,4e-04,0.32240182223806"
"110","110,2e-04,0.32240182223806"
"111","111,3e-04,0.32240182223806"
"112","112,0.0371,0.32240182223806"
"113","113,0.0046,0.32240182223806"
"114","114,4e-04,0.32240182223806"
"115","115,0.0062,0.32240182223806"
"116","116,0.0101,0.32240182223806"
"117","117,0.0062,0.32240182223806"
"118","118,0.0096,0.32240182223806"
"119","119,0.0168,0.32240182223806"
"120","120,0.0105,0.32240182223806"
"121","121,0.051,0.32240182223806"
"122","122,0.0195,0.32240182223806"
"123","123,0.0092,0.32240182223806"
"124","124,0.0135,0.32240182223806"
"125","125,0.017,0.32240182223806"
"126","126,0.046,0.32240182223806"
"127","127,0.0084,0.32240182223806"
"128","128,0.0173,0.32240182223806"
"129","129,0.0057,0.32240182223806"
"130","130,0.0345,0.32240182223806"
"131","131,0.0092,0.32240182223806"
"132","132,0.0087,0.32240182223806"
"133","133,0.0041,0.32240182223806"
"134","134,0.0086,0.32240182223806"
"135","135,0.0139,0.32240182223806"
"136","136,0.0064,0.32240182223806"
"137","137,0.0242,0.32240182223806"
"138","138,0.0125,0.32240182223806"
"139","139,0.0171,0.32240182223806"
"140","140,0.0099,0.32240182223806"
"141","141,0.0106,0.32240182223806"
"142","142,0.0105,0.32240182223806"
"143","143,0.0078,0.32240182223806"
"144","144,0.0154,0.32240182223806"
"145","145,0.0143,0.32240182223806"
"146","146,0.0107,0.32240182223806"
"147","147,0.0097,0.32240182223806"
"148","148,0.0129,0.32240182223806"
"149","149,0.0098,0.32240182223806"
"150","150,0.0081,0.32240182223806"
"151","151,0.0677,0.32240182223806"
"152","152,0.0066,0.32240182223806"
"153","153,0.0062,0.32240182223806"
"154","154,0.0154,0.32240182223806"
"155","155,0,0.32240182223806"
"156","156,3e-04,0.32240182223806"
"157","157,9e-04,0.32240182223806"
"158","158,0.0214,0.32240182223806"
"159","159,0.0135,0.32240182223806"
"160","160,0.0173,0.32240182223806"
"161","161,1e-04,0.32240182223806"
"162","162,3e-04,0.32240182223806"
"163","163,4e-04,0.32240182223806"
"164","164,0.002,0.32240182223806"
"165","165,0.028,0.32240182223806"
"166","166,4e-04,0.32240182223806"
"167","167,4e-04,0.32240182223806"
"168","168,5e-04,0.32240182223806"
"169","169,0.0051,0.32240182223806"
"170","170,0.0064,0.32240182223806"
"171","171,0.0071,0.32240182223806"
"172","172,0.0347,0.32240182223806"
"173","173,0.0111,0.32240182223806"
"174","174,0.0062,0.32240182223806"
"175","175,0.0244,0.32240182223806"
"176","176,0.0303,0.32240182223806"
"177","177,0.0569,0.32240182223806"
"178","178,0.0046,0.32240182223806"
"179","179,0.0103,0.32240182223806"
"180","180,0.023,0.32240182223806"
"181","181,0.026,0.32240182223806"
"182","182,0.0282,0.32240182223806"
"183","183,0.0045,0.32240182223806"
"184","184,0.0044,0.32240182223806"
"185","185,0.0061,0.32240182223806"
"186","186,0.0136,0.32240182223806"
"187","187,0.0212,0.32240182223806"
"188","188,0.009,0.32240182223806"
"189","189,0.0216,0.32240182223806"
"190","190,0.0228,0.32240182223806"
"191","191,0.0169,0.32240182223806"
"192","192,0.0203,0.32240182223806"
"193","193,0.0049,0.32240182223806"
"194","194,0.0245,0.32240182223806"
"195","195,0.0334,0.32240182223806"
"196","196,0.0424,0.32240182223806"
"197","197,0.0911,0.32240182223806"
"198","198,0.0121,0.32240182223806"
"199","199,0.0027,0.32240182223806"
"200","200,0.0198,0.32240182223806"
"201","201,0.022,0.32240182223806"
"202","202,0.022,0.32240182223806"
"203","203,0.0418,0.32240182223806"
"204","204,0.0084,0.32240182223806"
"205","205,0.0037,0.32240182223806"
"206","206,0.0152,0.32240182223806"
"207","207,0.0269,0.32240182223806"
"208","208,0.01,0.32240182223806"
"209","209,0.0211,0.32240182223806"
"210","210,0.0011,0.32240182223806"
"211","211,0.0134,0.32240182223806"
"212","212,0.0165,0.32240182223806"
"213","213,0.0102,0.32240182223806"
"214","214,0.0203,0.32240182223806"
"215","215,0.0041,0.32240182223806"
"216","216,0.0177,0.32240182223806"
"217","217,0.0349,0.32240182223806"
"218","218,0.0315,0.32240182223806"
"219","219,0.0239,0.32240182223806"
"220","220,0.0177,0.32240182223806"
"221","221,0.0088,0.32240182223806"
"222","222,0.0207,0.32240182223806"
"223","223,0.0353,0.32240182223806"
"224","224,0.0151,0.32240182223806"
"225","225,0.01,0.32240182223806"
"226","226,0.0102,0.32240182223806"
"227","227,0.026,0.32240182223806"
"228","228,0.0028,0.32240182223806"
"229","229,0.0493,0.32240182223806"
"230","230,0.0276,0.32240182223806"
"231","231,0.0161,0.32240182223806"
"232","232,0.0177,0.32240182223806"
"233","233,0.0115,0.32240182223806"
"234","234,0.0136,0.32240182223806"
"235","235,0.0463,0.32240182223806"
"236","236,0.03,0.32240182223806"
"237","237,0.0315,0.32240182223806"
"238","238,0.0115,0.32240182223806"
"239","239,0.0121,0.32240182223806"
"240","240,0.0075,0.32240182223806"
"241","241,0.0168,0.32240182223806"
"242","242,0.0167,0.32240182223806"
"243","243,0.012,0.32240182223806"
"244","244,0.0339,0.32240182223806"
"245","245,0.0101,0.32240182223806"
"246","246,0.0106,0.32240182223806"
"247","247,0.0104,0.32240182223806"
"248","248,0.0124,0.32240182223806"
"249","249,7e-04,0.32240182223806"
"250","250,0.0087,0.32240182223806"
"251","251,0.033,0.32240182223806"
"252","252,0.0409,0.32240182223806"
"253","253,0.0299,0.32240182223806"
"254","254,0.027,0.32240182223806"
"255","255,0.0146,0.32240182223806"
"256","256,0.0096,0.32240182223806"
"257","257,0.0185,0.32240182223806"
"258","258,0.0049,0.32240182223806"
"259","259,0.0072,0.32240182223806"
"260","260,0.0397,0.32240182223806"
"261","261,0.0099,0.32240182223806"
"262","262,0.0449,0.32240182223806"
"263","263,0.0221,0.32240182223806"
"264","264,0.0363,0.32240182223806"
"265","265,0.0207,0.32240182223806"
"266","266,0.0183,0.32240182223806"
"267","267,0.0361,0.32240182223806"
"268","268,0.0356,0.32240182223806"
"269","269,0.0158,0.32240182223806"
"270","270,0.0303,0.32240182223806"
"271","271,0.0438,0.32240182223806"
"272","272,0.0069,0.32240182223806"
"273","273,0.0199,0.32240182223806"
"274","274,0.0214,0.32240182223806"
"275","275,0.0237,0.32240182223806"
"276","276,0.0167,0.32240182223806"
"277","277,0.0268,0.32240182223806"
"278","278,0.006,0.32240182223806"
"279","279,0.0197,0.32240182223806"
"280","280,0.0265,0.32240182223806"
"281","281,0.0246,0.32240182223806"
"282","282,0.0272,0.32240182223806"
"283","283,0.0144,0.32240182223806"
"284","284,0.0266,0.32240182223806"
"285","285,0.0237,0.32240182223806"
"286","286,0.0413,0.32240182223806"
"287","287,0.0233,0.32240182223806"
"288","288,0.022,0.32240182223806"
"289","289,0.0196,0.32240182223806"
"290","290,0.0135,0.32240182223806"
"291","291,0.0129,0.32240182223806"
"292","292,0.0168,0.32240182223806"
"293","293,0.0159,0.32240182223806"
"294","294,0.0138,0.32240182223806"
"295","295,0.0225,0.32240182223806"
"296","296,0.0168,0.32240182223806"
"297","297,0.0135,0.32240182223806"
"298","298,0.0171,0.32240182223806"
"299","299,0.0179,0.32240182223806"
"300","300,0.0082,0.32240182223806"
"301","301,0.0301,0.32240182223806"
"302","302,0.0206,0.32240182223806"
"303","303,0.0399,0.32240182223806"
"304","304,0.0191,0.32240182223806"
"305","305,0.014,0.32240182223806"
"306","306,0.0199,0.32240182223806"
"307","307,0.0104,0.32240182223806"
"308","308,0.0039,0.32240182223806"
"309","309,0.0019,0.32240182223806"
"310","310,0.0281,0.32240182223806"
"311","311,0.0169,0.32240182223806"
"312","312,0.0183,0.32240182223806"
"313","313,0.0321,0.32240182223806"
"314","314,0.0379,0.32240182223806"
"315","315,8e-04,0.32240182223806"
"316","316,0,0.32240182223806"
"317","317,0,0.32240182223806"
"318","318,0.0343,0.32240182223806"
"319","319,0.0254,0.32240182223806"
"320","320,0.0123,0.32240182223806"
"321","321,0.032,0.32240182223806"
"322","322,0.0187,0.32240182223806"
"323","323,0,0.32240182223806"
"324","324,0,0.32240182223806"
"325","325,0,0.32240182223806"
"326","326,0,0.32240182223806"
