Code	Espece	Nom_lat	Ordre	Famille	Taille	Alimentation	IUCN
Myo	Tyran.janeau	Myiarchus.oberi	Passeriformes	Tyrannidae	20	Insectivore	Least.Concern
Gem	Colombe.a.croissants	Geotrygon.mystacea	Columbiformes	Columbidae	30	Frugivore	Least.Concern
Meh	Pic.de.la.Guadeloupe	Melanerpes.herminieri	Piciformes	Picidae	27	Omnivore	Near.Threatened
Col	Moucherolle.gobemouche	Contopus.latirostris	Passeriformes	Tyrannidae	15	Insectivore	Least.Concern
Lon	Sporophile.rouge-gorge	Loxigilla.noctis	Passeriformes	Thraupidae	14	Omnivore	Least.Concern
Cir	Trembleur.brun	Cinclocerthia.ruficauda	Passeriformes	Mimidae	24	Omnivore	Least.Concern
Euh	Colibri.falle-vert	Eulampis.holosericeus	Apodiformes	Trochilidae	12	Nectarivore	Least.Concern
Orc	Colibri.huppe	Orthorhyncus.cristatus	Apodiformes	Trochilidae	9	Nectarivore	Least.Concern
Euj	Colibri.madere	Eulampis.jugularis	Apodiformes	Trochilidae	12	Nectarivore	Least.Concern
Cof	Sucrier.a.ventre.jaune	Coereba.flaveola	Passeriformes	Coerebidae	11	Nectarivore	Least.Concern
Dep	Paruline.cafeiette	Dendroica.plumbea	Passeriformes	Parulidae	12	Insectivore	Least.Concern
Mas	Moqueur.grivotte	Margarops.fuscus	Passeriformes	Mimidae	23	Frugivore	Least.Concern
Maf	Moqueur.corossol	Margarops.fuscatus	Passeriformes	Mimidae	30	Omnivore	Least.Concern
Saa	Saltator.gros-bec	Saltator.albicollis	Passeriformes	Cardinalidae	23	Frugivore	Least.Concern
Elm	Elenie.siffleuse	Elaenia.martinica	Passeriformes	Tyrannidae	17	Omnivore	Least.Concern
Tul	Grive.a.pieds.jaunes	Turdus.lherminieri	Passeriformes	Turdidae	27	Insectivore	Vulnerable
