IdPE	loc	UE	long	lat	agri	arbu	prai	hydro	foret	heter	ecot	fcoeur	lisi	pente	alt	prec	temp	bati
868	Basse-Terre	Foret_ombrophile	646100	1772700	1.00E-04	0	0	17.5604	0.9851	0.2392	9.5432	0.7197	9.7377	16.8781	580.1927	2876.6057	22.8494	1.00E-04
869	Basse-Terre	Foret_ombrophile	646300	1772700	0.0054	0	0	17.7401	0.9802	0.2681	10.1543	0.6954	13.5463	16.4689	549.7313	2866.7725	22.9457	1.00E-04
870	Basse-Terre	Foret_ombrophile	646500	1772700	0.009	0	0	21.2642	0.9764	0.2221	10.4846	0.6393	17.9136	16.0416	518.9271	2858.5979	23.0432	0
871	Basse-Terre	Foret_semidecidue	635700	1772500	0.3335	0.0075	0	16.7901	0.54	1.444	46.2377	0	191.9352	13.6927	186.0594	2303.1411	24.063	0.0203
872	Basse-Terre	Altimontain	642500	1772500	5.00E-04	0.0022	0	17.3682	0.9956	0.3725	17.3148	0.7347	4.5525	17.2616	852.7546	3457.1968	19.1049	1.00E-04
873	Basse-Terre	Altimontain	642700	1772500	0	0.0102	0	19.0402	0.988	0.4311	18.466	0.7109	8.0123	17.8993	860.7026	3454.8425	19.1272	1.00E-04
874	Basse-Terre	Altimontain	642900	1772500	0.0014	0.0163	0.0111	20.1882	0.9689	0.5452	20.75	0.6306	11.3951	18.9822	868.0519	3442.1829	19.2185	1.00E-04
875	Basse-Terre	Foret_ombrophile	646100	1772500	0.0018	0	0	13.9795	0.9816	0.3042	11.4691	0.6538	12.7284	17.0301	588.6109	2874.6396	22.8506	0
876	Basse-Terre	Foret_ombrophile	648500	1772500	0.271	0	0	22.0583	0.7087	0.9312	48.1975	0.0804	132.2562	11.6167	260.9612	2621.9753	24.3222	0.01
877	Basse-Terre	Foret_sempervirente	651900	1772500	0.6417	0	0.0678	30.825	0.1666	1.0571	34.03	0	121.2225	5.2311	59.3289	1725.6058	25.7426	0.0249
878	Basse-Terre	Foret_semidecidue	635900	1772300	0.4814	0.0072	0	20.2612	0.4367	1.4163	46.9938	0	191.4383	12.4985	199.5727	2344.4854	23.9679	0.0154
